Función;Descripción;Justificación;;tipo de uso
Buscar productos;Búsqueda por nombre, SKU, código de barras;Los productos ya están sincronizados localmente;; Local
Escanear código de barras;Identificar producto por barcode;Debe ser instantáneo (<50ms);;local
Ver variaciones de producto;Listar variaciones de un producto variable;Las variaciones se sincronizan junto con productos;;local debe de visualizarse solo los atributos disponibles
Seleccionar variación;Elegir Color/Talla/etc;No requiere conexión;;local
Agregar al carrito;Añadir producto al pedido actual;Operación local;;local
Modificar cantidad en carrito;Cambiar cantidad de items;Operación local;;local
Ver carrito/pedido actual;Mostrar items en el pedido;Operación local;;local
Calcular totales;Subtotal, descuentos, total;Operación matemática local;;local
Guardar borrador de pedido;Guardar pedido sin enviar;Solo en Hive/ObjectBox;;local y api enviar a wooocmerce como pedido sin completar para que guarde por 5 minutos los productos y estos se disminuya del stock si se cancela volvera la cantidad exacta
Cargar borrador;Recuperar pedido guardado;Solo desde local;;local debe de guardad un id del pedido para que cargue el mismo y sepa que no debe cargar mas productos si no los mismos del guardado
Ver historial de movimientos de inventario LOCAL;Movimientos hechos desde la app;Guardados en ObjectBox;;local y api debe de enviar a pluging los movimientos de inventario mas o menos producto para que se guarde en woocomerce y agregue o reste los productos al inventario 
Imprimir etiquetas;Generar PDF/thermal de etiquetas;Datos ya en local;;local
Función;Dirección;Descripción;Endpoint;
Obtener clientes recientes;?? RECIBIR;Listar últimos clientes de WooCommerce;GET /wc/v3/customers;api
Buscar clientes;?? RECIBIR;Buscar cliente por nombre/email;GET /wc/v3/customers?search=;api
Crear cliente nuevo;?? ENVIAR;Registrar nuevo cliente en WooCommerce;POST /wc/v3/customers;local buscar en contactos o crear desde cero y enviar a api
Enviar pedido completado;?? ENVIAR;Crear pedido en WooCommerce;POST /wc/v3/orders;este debe generar una base de datos en local del nuevo pedido como una resta de productos y debe gestionar la aplicación la resta de productos en la base local y enviar a la api el pedido para que tambien sea restado y tomado como un nuevo pedido
Actualizar estado de pedido;?? ENVIAR;Cambiar status (pending?completed);PUT /wc/v3/orders/{id};api
Obtener historial de pedidos;?? RECIBIR;Ver pedidos pasados del servidor;GET /wc/v3/orders o mypos/v1/pedidos;api
Resetear stock a cero;?? ENVIAR;Poner todo el inventario en 0;POST /mypos/v1/batch/stock;enviar a api
Activar gestión de stock;?? ENVIAR;Activar manage_stock en variables;POST /mypos/v1/activar-gestion-stock-variables;api
Verificar conexión API;?? RECIBIR;Test de conectividad;GET /mypos/v1/status;api
Registrar dispositivo;?? ENVIAR;Vincular app con plugin;POST /mypos/v1/register-device;api
Refrescar token;???? AMBOS;Renovar JWT;POST /mypos/v1/refresh-token;api
Función;Flujo;Descripción;;
Sincronizar catálogo de productos;API ? LOCAL;Descargar productos nuevos/modificados y guardar en ObjectBox;;no necesita sincronizar ya que la aplicación debera saber que movimientos de invetario se hizo con nuevos pedidos o nuevo movimento de inventario estas se enviaran por la api y woocomerce sabra que productos y cantidades efectuar por ende ambos son individuales, esto solo se hara en su primera vez o con un nuevo producto que no este en la base de datos y se hara manual mente
Sincronizar variaciones;API ? LOCAL;Descargar variaciones de productos variables;;no necesita sincornizar cuando se haga un movimeinto el inventario desde woocomerce o desde la aplicación este debera de enviar la informacion en paralelo y cada base de datos se actualizara automaticamente, al igual que con nuevos pedidos. , esto solo se hara en su primera vez o con un nuevos atributos que no este en la base de datos y se hara manual mente
Ajuste de inventario;LOCAL ? API;1. Guardar movimiento local inmediatamente 2. Enviar a API en background 3. Marcar como sincronizado;;local y api debe forzar a el ajuste de inventario local modificando unicamente los productos seleccionados para el movimeinto de inventario y debe forzar la subida a la api como prioridad para que el pluging dfetecte el movimeinto de inventario y tambien pueda modificar los productos de woocomerce, y cuando se hace desde el pluging de wordpress debera enviar el nuevo movimiento de inventario para que la aplicaicon detecte el movimiento de invetario y la aplicacion modifique la base de datos como ajuste en los productos 
Entrada de stock;LOCAL ? API;Mismo flujo: local primero, API después;;local y api debe forzar a el ajuste de inventario local modificando unicamente los productos seleccionados para el movimeinto de inventario y debe forzar la subida a la api como prioridad para que el pluging dfetecte el movimeinto de inventario y tambien pueda modificar los productos de woocomerce, y cuando se hace desde el pluging de wordpress debera enviar el nuevo movimiento de inventario para que la aplicaicon detecte el movimiento de invetario y la aplicacion modifique la base de datos como ajuste en los productos 
Salida de stock;LOCAL ? API;Mismo flujo;;local y api debe forzar a el ajuste de inventario local modificando unicamente los productos seleccionados para el movimeinto de inventario y debe forzar la subida a la api como prioridad para que el pluging dfetecte el movimeinto de inventario y tambien pueda modificar los productos de woocomerce, y cuando se hace desde el pluging de wordpress debera enviar el nuevo movimiento de inventario para que la aplicaicon detecte el movimiento de invetario y la aplicacion modifique la base de datos como ajuste en los productos 
Conteo físico;LOCAL ? API;Mismo flujo;;local y api debe forzar a el ajuste de inventario local modificando unicamente los productos seleccionados para el movimeinto de inventario y debe forzar la subida a la api como prioridad para que el pluging dfetecte el movimeinto de inventario y tambien pueda modificar los productos de woocomerce, y cuando se hace desde el pluging de wordpress debera enviar el nuevo movimiento de inventario para que la aplicaicon detecte el movimiento de invetario y la aplicacion modifique la base de datos como ajuste en los productos 
Sincronización delta de productos;API ? LOCAL;Obtener solo cambios desde último sync;;api y local
Sincronización delta de pedidos;API ? LOCAL;Obtener pedidos nuevos/modificados;;local y api debe forzar a el ajuste de pedidos local modificando unicamente los productos seleccionados del pedido y debe forzar la subida a la api como prioridad para que el pluging detecte el pedido y tambien pueda detectarlo como pedido en woocomerce, y cuando se hace desde wordpress debera enviar el nuevo pedido a la aplicacion  para que la aplicaicon detecte el nuevo pedido y la aplicacion modifique la base de datos como ajuste en los productos por el nuevo pedido
Importar CSV de inventario;LOCAL ? API;Procesar CSV, guardar local, enviar batch a API;;local y api debe forzar a el ajuste de inventario local modificando unicamente los productos seleccionados para el movimeinto de inventario y debe forzar la subida a la api como prioridad para que el pluging dfetecte el movimeinto de inventario y tambien pueda modificar los productos de woocomerce, y cuando se hace desde el pluging de wordpress debera enviar el nuevo movimiento de inventario para que la aplicaicon detecte el movimiento de invetario y la aplicacion modifique la base de datos como ajuste en los productos 
Pedido pendiente (offline);LOCAL ? (cola) ? API;Guardar local, encolar, enviar cuando haya conexión;;local y api asegurar la subida
